"modelkey";"modelid";"akey";"modelf";"typef";"first_year";"count_runs";"count_years";"lambda_mean";"lambda_min";"lambda_max";"lambda_sd";"lambda_boot_lcl";"lambda_boot_ucl";"lambda_q25";"lambda_q75";"gen_mean";"gen_min";"gen_max";"gen_sd";"gen_boot_lcl";"gen_boot_ucl";"gen_q25";"gen_q75"
53;"poun_female-hunt 2.5%_0_3";"poun_female-hunt 2.5%_0";"Stochastic equal";"female-hunt 2.5%";0;50;101;0,919173779582688;0,913784696755048;0,923746032850501;0,00208584570230841;0,918575850383558;0,91976149841232;0,917769231193229;0,920259565217092;63,7176215762824;58,1403506495624;70,2912677012398;2,54433118895731;63,0608645096392;64,422678538206;62,3931716176495;65,4309008805689
54;"poun_female-hunt 2.5%_0_4";"poun_female-hunt 2.5%_0";"Stochastic bad x2";"female-hunt 2.5%";0;50;101;0,923427270095446;0,918267297998002;0,926734433679137;0,00205422291867832;0,922879396610196;0,923965182244601;0,922251832436183;0,924742166460046;58,5291799952161;54,4950755340592;64,823355027985;2,50575746579905;57,8608795573739;59,222086040088;56,9252589443947;59,962988207314
55;"poun_female-hunt 2.5%_0_5";"poun_female-hunt 2.5%_0";"Stochastic worst x4";"female-hunt 2.5%";0;50;101;0,927093041778573;0,920757632021865;0,934205435750726;0,00267752449307053;0,926315559496323;0,927810507010848;0,925738300069591;0,928602184197034;54,0576425201988;45,3818877453012;61,7856257650657;3,26606568711052;53,1584746583747;54,9206614037942;52,2167785868697;55,710167239227
56;"poun_female-hunt 2.5%_0.1_1";"poun_female-hunt 2.5%_0.1";"Deterministic";"female-hunt 2.5%";0,1;1;101;0,956618441965496;0,956618441965496;0,956618441965496;NA;NA;NA;0,956618441965496;0,956618441965496;18,042324379027;18,042324379027;18,042324379027;NA;NA;NA;18,042324379027;18,042324379027
57;"poun_female-hunt 2.5%_0.1_2";"poun_female-hunt 2.5%_0.1";"Stochastic uniform";"female-hunt 2.5%";0,1;50;101;0,951757309950915;0,947155172674815;0,954626174746405;0,00159914130135547;0,951348895171001;0,952155763394733;0,950641640308224;0,953131974332087;23,9719719002456;20,4725077893625;29,5856955781205;1,95064528698629;23,4616333840751;24,5069160234457;22,2951453471141;25,3328746100334
58;"poun_female-hunt 2.5%_0.1_3";"poun_female-hunt 2.5%_0.1";"Stochastic equal";"female-hunt 2.5%";0,1;50;101;0,944007390468652;0,940182237407998;0,949147439893906;0,00199592313101899;0,943479439655593;0,944535590315114;0,942672571431862;0,945660972260497;33,4253853664506;27,1555121677851;38,0913375142947;2,43464292080319;32,8053848238888;34,0815348872412;31,4083331358721;35,0536082513754
59;"poun_female-hunt 2.5%_0.1_4";"poun_female-hunt 2.5%_0.1";"Stochastic bad x2";"female-hunt 2.5%";0,1;50;101;0,94000293335828;0,933707368945954;0,944664838650952;0,00227411799489533;0,939385330520362;0,940580939885219;0,938189970188908;0,941551921121123;38,3100540212249;32,6234248410399;45,989433597885;2,77398722991722;37,6049970593013;39,0998636295839;36,4205864196891;40,5215209246302
60;"poun_female-hunt 2.5%_0.1_5";"poun_female-hunt 2.5%_0.1";"Stochastic worst x4";"female-hunt 2.5%";0,1;50;101;0,93658619507754;0,932213168531636;0,942672571431862;0,00233893428676361;0,935988514911812;0,937223720587649;0,934828019256692;0,938189970188908;42,4778185699503;35,0536082513754;47,8120711556366;2,85305065861212;41,7120070227683;43,1947226759992;40,5215209246302;44,6224554295713
61;"poun_female-hunt 2.5%_0.2_1";"poun_female-hunt 2.5%_0.2";"Deterministic";"female-hunt 2.5%";0,2;1;101;0,992898345408849;0,992898345408849;0,992898345408849;NA;NA;NA;0,992898345408849;0,992898345408849;15,0192381598821;15,0192381598821;15,0192381598821;NA;NA;NA;15,0192381598821;15,0192381598821
62;"poun_female-hunt 2.5%_0.2_2";"poun_female-hunt 2.5%_0.2";"Stochastic uniform";"female-hunt 2.5%";0,2;50;101;0,980510431361145;0,974635635798009;0,988366484948724;0,00286506983319486;0,979759886538889;0,981318244873694;0,97893996499404;0,982563264132934;21,8590897029531;17,6610376055577;26,163750932977;2,08125007062771;21,3117973116072;22,4659893710984;20,3935296378077;23,4380844640862
